date,Country,deaths,confirmed_cases
2020-02-04,Portugal,0.0,0.0
2020-10-27,Portugal,28.0,3299.0
2020-10-14,Portugal,7.0,2072.0
2020-08-28,Portugal,6.0,401.0
2020-02-11,Portugal,0.0,0.0
2020-09-28,Portugal,4.0,425.0
2020-09-03,Portugal,2.0,418.0
2020-10-17,Portugal,13.0,2153.0
2020-08-27,Portugal,2.0,399.0
2020-08-25,Portugal,4.0,192.0
2020-10-21,Portugal,16.0,2535.0
2020-01-29,Portugal,0.0,0.0
2020-11-16,Portugal,91.0,8371.0
2020-08-22,Portugal,2.0,241.0
2020-10-06,Portugal,14.0,427.0
2020-05-19,Portugal,16.0,223.0
2020-03-28,Portugal,24.0,902.0
2020-01-24,Portugal,0.0,0.0
2020-04-26,Portugal,23.0,472.0
2020-05-13,Portugal,12.0,219.0
2020-06-24,Portugal,3.0,367.0
2020-06-30,Portugal,8.0,229.0
2020-01-27,Portugal,0.0,0.0
2020-07-17,Portugal,3.0,312.0
2020-04-30,Portugal,16.0,540.0
2020-06-19,Portugal,3.0,375.0
2020-09-26,Portugal,8.0,884.0
2020-02-02,Portugal,0.0,0.0
2020-10-05,Portugal,13.0,734.0
2020-02-20,Portugal,0.0,0.0
2020-07-18,Portugal,2.0,313.0
2020-09-04,Portugal,4.0,406.0
2020-08-21,Portugal,4.0,219.0
2020-03-06,Portugal,0.0,5.0
2020-10-12,Portugal,14.0,1249.0
2020-06-23,Portugal,6.0,345.0
2020-03-23,Portugal,9.0,460.0
2020-05-07,Portugal,16.0,533.0
2020-03-27,Portugal,16.0,724.0
2020-02-05,Portugal,0.0,0.0
2020-08-11,Portugal,2.0,120.0
2020-03-25,Portugal,10.0,633.0
2020-04-07,Portugal,34.0,712.0
2020-03-05,Portugal,0.0,3.0
2020-11-02,Portugal,46.0,2506.0
2020-04-22,Portugal,23.0,603.0
2020-08-18,Portugal,5.0,214.0
2020-04-11,Portugal,35.0,515.0
2020-04-19,Portugal,27.0,521.0
2020-02-26,Portugal,0.0,0.0
2020-09-27,Portugal,9.0,665.0
2020-09-21,Portugal,8.0,623.0
2020-09-24,Portugal,3.0,691.0
2020-10-25,Portugal,19.0,2577.0
2020-05-30,Portugal,13.0,257.0
2020-10-29,Portugal,33.0,4224.0
2020-06-14,Portugal,5.0,227.0
2020-05-05,Portugal,11.0,178.0
2020-07-16,Portugal,3.0,339.0
2020-11-03,Portugal,45.0,2596.0
2020-11-04,Portugal,59.0,7497.0
2020-03-21,Portugal,6.0,260.0
2020-10-01,Portugal,6.0,854.0
2020-02-22,Portugal,0.0,0.0
2020-05-03,Portugal,20.0,92.0
2020-04-25,Portugal,26.0,595.0
2020-08-06,Portugal,3.0,213.0
2020-11-10,Portugal,62.0,3817.0
